Date,AAPL,ABT,AMZN,BAC,C,COP,CVX,EOG,GOOGL,GS,JNJ,JPM,META,MRK,MSFT,PFE,SLB,UNH,WFC,XOM
2019-09-03,49.43635177612305,74.46000671386719,89.49199676513672,22.93806266784668,50.36686325073242,41.1536865234375,87.24785614013672,55.313751220703125,57.998146057128906,170.66455078125,107.41803741455078,90.4006118774414,180.96986389160156,66.9642105102539,128.43626403808594,25.130502700805664,27.000411987304688,205.75108337402344,38.92375183105469,50.93281936645508
2019-09-04,50.275115966796875,74.60173034667969,90.03099822998047,23.311172485351562,51.04985427856445,42.15011215209961,87.98324584960938,56.38825225830078,58.628936767578125,173.03192138671875,107.51815032958984,91.49150085449219,185.68287658691406,66.50054168701172,129.93740844726562,24.92873191833496,28.072935104370117,202.28054809570312,39.2700080871582,51.47514343261719
2019-09-05,51.2580680847168,76.0898666381836,92.03600311279297,24.002578735351562,52.68586730957031,42.26082992553711,88.27590942382812,56.41063690185547,60.112667083740234,177.59512329101562,107.28453826904297,93.57330322265625,189.41357421875,66.53916931152344,132.22213745117188,25.2835636138916,28.992250442504883,204.83216857910156,40.21586608886719,52.20317840576172
2019-09-06,51.25326156616211,76.21389770507812,91.67549896240234,23.669677734375,52.39203643798828,42.41107940673828,88.74113464355469,57.037410736083984,59.82157516479492,177.73236083984375,106.975830078125,93.77314758300781,186.03013610839844,66.90239715576172,131.32525634765625,25.394882202148438,29.111412048339844,204.30581665039062,39.81894302368164,52.693485260009766
2019-09-09,51.471961975097656,74.60173034667969,91.56749725341797,24.437902450561523,54.63161849975586,43.47075271606445,89.58908081054688,59.693817138671875,59.769508361816406,181.82376098632812,105.92451477050781,96.09646606445312,187.29025268554688,64.5066909790039,129.83352661132812,25.62448501586914,30.839374542236328,205.8046112060547,40.88302993774414,53.109500885009766
2019-09-10,52.08000564575195,73.70707702636719,91.02749633789062,25.05247688293457,54.78251647949219,44.53834915161133,91.4350357055664,59.76842498779297,59.79083251953125,184.95452880859375,108.09390258789062,97.32054138183594,184.72039794921875,63.131065368652344,128.4740753173828,26.007150650024414,31.8863582611084,207.3927001953125,40.798580169677734,53.54038619995117
2019-09-11,53.73590087890625,74.86747741699219,91.14949798583984,25.1463680267334,54.7189826965332,45.2342643737793,91.00733947753906,60.462379455566406,60.499969482421875,185.95806884765625,109.44557189941406,97.5870361328125,187.02232360839844,64.08162689208984,128.5117645263672,26.028024673461914,31.76719093322754,208.95394897460938,41.25461196899414,53.43638229370117
2019-09-12,53.61572265625,75.47868347167969,92.17749786376953,25.325613021850586,55.03664779663086,44.562068939208984,91.11236572265625,59.45503616333008,61.242340087890625,187.62208557128906,108.82811737060547,98.18659973144531,186.01028442382812,64.38301849365234,129.83352661132812,25.937572479248047,31.409683227539062,205.28713989257812,41.08572006225586,53.47352600097656
2019-09-13,52.57268142700195,74.64602661132812,91.96700286865234,25.752403259277344,55.90229415893555,45.344970703125,91.1723861694336,59.2386474609375,61.493263244628906,188.61708068847656,109.12015533447266,100.11849975585938,185.7324981689453,64.266357421875,129.6447296142578,25.680143356323242,31.775712966918945,209.4015350341797,41.313716888427734,53.96384048461914
2019-09-16,52.849063873291016,73.8399429321289,90.39199829101562,25.718265533447266,55.45756149291992,49.44927215576172,93.138427734375,63.902217864990234,61.07670593261719,186.3183135986328,108.0855484008789,99.22752380371094,184.77001953125,63.81513977050781,128.7100372314453,25.62448501586914,33.46111297607422,210.13653564453125,41.36441421508789,54.773590087890625
2019-09-17,53.04133605957031,74.03483581542969,91.12750244140625,25.556093215942383,55.17959976196289,48.41332244873047,92.9658432006836,60.6041259765625,60.98992156982422,185.1947021484375,108.19402313232422,98.73619079589844,186.61553955078125,64.18851470947266,129.7108154296875,25.394882202148438,32.49072265625,208.42446899414062,41.17860794067383,54.35757064819336
2019-09-18,53.5388298034668,74.08797454833984,90.87300109863281,25.6072998046875,55.66404724121094,47.45643615722656,93.18346405029297,60.67875289916992,61.12727355957031,186.19822692871094,108.81146240234375,99.72714233398438,186.6750946044922,64.58531188964844,130.77767944335938,25.31139373779297,32.37154769897461,206.71241760253906,41.322181701660156,54.0975456237793
